sector,year,value
Aluminium,2020,0.96
Aluminium,2025,2.0069665030320536
Aluminium,2030,3.2641409182789496
Aluminium,2035,4.35053710655501
Aluminium,2040,4.793624025411493
Aluminium,2045,3.668521513138898
Aluminium,2050,1.8439214553855043
Cement,2020,49.22
Cement,2025,57.3774820143885
Cement,2030,62.96115107913669
Cement,2035,65.18733812949641
Cement,2040,63.47719424460433
Cement,2045,44.545431654676264
Cement,2050,32.341007194244604
Fertilizer,2020,10.7
Fertilizer,2025,11.45143942235559
Fertilizer,2030,11.90332145536384
Fertilizer,2035,11.205598274568644
Fertilizer,2040,9.85183795948987
Fertilizer,2045,8.453251125281321
Fertilizer,2050,7.4670536384096025
Iron and Steel,2020,95.73
Iron and Steel,2025,107.08693604362915
Iron and Steel,2030,113.09942488844818
Iron and Steel,2035,114.91664352999504
Iron and Steel,2040,110.86184928111055
Iron and Steel,2045,62.31397124442241
Iron and Steel,2050,29.97710956866634
Petroleum Refinery,2020,11.11
Petroleum Refinery,2025,14.176531242847336
Petroleum Refinery,2030,16.656324101625085
Petroleum Refinery,2035,17.055061799038683
Petroleum Refinery,2040,16.760228885328452
Petroleum Refinery,2045,14.58369878690776
Petroleum Refinery,2050,9.158306248569469
Thermal Power Plant,2020,336.98
Thermal Power Plant,2025,427.90181646404216
Thermal Power Plant,2030,506.1788643380934
Thermal Power Plant,2035,539.5667534253184
Thermal Power Plant,2040,505.1127978258074
Thermal Power Plant,2045,351.67192702302845
Thermal Power Plant,2050,193.09148350057893
